"currency","timestamps","prices"
"1ST","2018-04-14T00:00:00Z",0.18990802
NULL,"2018-04-15T00:00:00Z",0.30233548
NULL,"2018-04-16T00:00:00Z",0.254956
NULL,"2018-04-17T00:00:00Z",0.24609811
NULL,"2018-04-18T00:00:00Z",0.26745879
NULL,"2018-04-19T00:00:00Z",0.29449059
NULL,"2018-04-20T00:00:00Z",0.34862878
NULL,"2018-04-21T00:00:00Z",0.37625657
NULL,"2018-04-22T00:00:00Z",0.36052988
NULL,"2018-04-23T00:00:00Z",0.36432905
NULL,"2018-04-24T00:00:00Z",0.37943033
NULL,"2018-04-25T00:00:00Z",0.28843351
NULL,"2018-04-26T00:00:00Z",0.34936014
NULL,"2018-04-27T00:00:00Z",0.31225723
NULL,"2018-04-28T00:00:00Z",0.3121736
NULL,"2018-04-29T00:00:00Z",0.32800006
NULL,"2018-04-30T00:00:00Z",0.29335529
NULL,"2018-05-01T00:00:00Z",0.32206899
NULL,"2018-05-02T00:00:00Z",0.29973525
NULL,"2018-05-03T00:00:00Z",0.3008298
NULL,"2018-05-04T00:00:00Z",0.36502274
NULL,"2018-05-05T00:00:00Z",0.39632857
NULL,"2018-05-06T00:00:00Z",0.35885232
NULL,"2018-05-07T00:00:00Z",0.35671671
NULL,"2018-05-08T00:00:00Z",0.3461251
NULL,"2018-05-09T00:00:00Z",0.39173916
NULL,"2018-05-10T00:00:00Z",0.34116087
NULL,"2018-05-11T00:00:00Z",0.31555333
NULL,"2018-05-12T00:00:00Z",0.30439238
NULL,"2018-05-13T00:00:00Z",0.34448216
NULL,"2018-05-14T00:00:00Z",0.32756477
"2GIVE","2018-04-14T00:00:00Z",0.00711459
NULL,"2018-04-15T00:00:00Z",0.00819357
NULL,"2018-04-16T00:00:00Z",0.00860631
NULL,"2018-04-17T00:00:00Z",0.00852588
NULL,"2018-04-18T00:00:00Z",0.01045847
NULL,"2018-04-19T00:00:00Z",0.01061431
NULL,"2018-04-20T00:00:00Z",0.01102317
NULL,"2018-04-21T00:00:00Z",0.00990384
NULL,"2018-04-22T00:00:00Z",0.01012811
NULL,"2018-04-23T00:00:00Z",0.01014796
NULL,"2018-04-24T00:00:00Z",0.01008022
NULL,"2018-04-25T00:00:00Z",0.00878873
NULL,"2018-04-26T00:00:00Z",0.00963555
NULL,"2018-04-27T00:00:00Z",0.00919221
NULL,"2018-04-28T00:00:00Z",0.00957723
NULL,"2018-04-29T00:00:00Z",0.0091858
NULL,"2018-04-30T00:00:00Z",0.00905922
NULL,"2018-05-01T00:00:00Z",0.00926445
NULL,"2018-05-02T00:00:00Z",0.00960239
NULL,"2018-05-03T00:00:00Z",0.00952959
NULL,"2018-05-04T00:00:00Z",0.00939646
NULL,"2018-05-05T00:00:00Z",0.00944742
NULL,"2018-05-06T00:00:00Z",0.00886805
NULL,"2018-05-07T00:00:00Z",0.00842766
NULL,"2018-05-08T00:00:00Z",0.00814744
NULL,"2018-05-09T00:00:00Z",0.0081944
NULL,"2018-05-10T00:00:00Z",0.00791478
NULL,"2018-05-11T00:00:00Z",0.00745958
NULL,"2018-05-12T00:00:00Z",0.0073754
NULL,"2018-05-13T00:00:00Z",0.00774347
NULL,"2018-05-14T00:00:00Z",0.0093836
"ABT","2018-04-14T00:00:00Z",0.87224368
NULL,"2018-04-15T00:00:00Z",0.96160528
NULL,"2018-04-16T00:00:00Z",0.91158257
NULL,"2018-04-17T00:00:00Z",0.89110001
NULL,"2018-04-18T00:00:00Z",0.94758523
NULL,"2018-04-19T00:00:00Z",1.01311671
NULL,"2018-04-20T00:00:00Z",1.06014221
NULL,"2018-04-21T00:00:00Z",1.09185657
NULL,"2018-04-22T00:00:00Z",1.25145616
NULL,"2018-04-23T00:00:00Z",1.2060102
NULL,"2018-04-24T00:00:00Z",1.16839355
NULL,"2018-04-25T00:00:00Z",1.03893043
NULL,"2018-04-26T00:00:00Z",1.15266344
NULL,"2018-04-27T00:00:00Z",1.07914755
NULL,"2018-04-28T00:00:00Z",1.21884733
NULL,"2018-04-29T00:00:00Z",1.35658453
NULL,"2018-04-30T00:00:00Z",1.28499523
NULL,"2018-05-01T00:00:00Z",1.24547514
NULL,"2018-05-02T00:00:00Z",1.27997722
NULL,"2018-05-03T00:00:00Z",1.51958699
NULL,"2018-05-04T00:00:00Z",1.45394759
NULL,"2018-05-05T00:00:00Z",1.65188932
NULL,"2018-05-06T00:00:00Z",1.46605656
NULL,"2018-05-07T00:00:00Z",1.40683103
NULL,"2018-05-08T00:00:00Z",1.39627825
NULL,"2018-05-09T00:00:00Z",1.40821366
NULL,"2018-05-10T00:00:00Z",1.25039544
NULL,"2018-05-11T00:00:00Z",1.12287656
NULL,"2018-05-12T00:00:00Z",1.10671377
NULL,"2018-05-13T00:00:00Z",1.16907249
NULL,"2018-05-14T00:00:00Z",1.10738908
"ABX","2018-04-14T00:00:00Z",0.20105767
NULL,"2018-04-15T00:00:00Z",0.21358328
NULL,"2018-04-17T00:00:00Z",0.20111959
NULL,"2018-04-18T00:00:00Z",0.21019165
NULL,"2018-04-20T00:00:00Z",0.18854769
NULL,"2018-04-21T00:00:00Z",0.27251904
NULL,"2018-04-22T00:00:00Z",0.20020764
NULL,"2018-04-23T00:00:00Z",0.24179677
NULL,"2018-04-24T00:00:00Z",0.28145092
NULL,"2018-04-27T00:00:00Z",0.25740708
NULL,"2018-04-29T00:00:00Z",0.21286014
NULL,"2018-04-30T00:00:00Z",0.20763137
NULL,"2018-05-01T00:00:00Z",0.22368788
NULL,"2018-05-02T00:00:00Z",0.2292335
NULL,"2018-05-10T00:00:00Z",0.08028488
NULL,"2018-05-11T00:00:00Z",0.1150858
NULL,"2018-05-13T00:00:00Z",0.15310713
NULL,"2018-05-14T00:00:00Z",0.29458305
"ABY","2018-04-14T00:00:00Z",0.00751428
NULL,"2018-04-15T00:00:00Z",0.00819357
NULL,"2018-04-16T00:00:00Z",0.00892804
NULL,"2018-04-17T00:00:00Z",0.00836799
NULL,"2018-04-18T00:00:00Z",0.00915117
NULL,"2018-04-19T00:00:00Z",0.00961922
NULL,"2018-04-20T00:00:00Z",0.00977862
